age,fsr
550,0.800178042
549.5,0.798340745
549,0.79650564
548.5,0.794672499
548,0.792841097
547.5,0.79101122
547,0.789182672
546.5,0.787355286
546,0.785528927
545.5,0.783703499
545,0.781878936
544.5,0.780055207
544,0.778232313
543.5,0.776410287
543,0.774589194
542.5,0.772769132
542,0.770950222
541.5,0.769132615
541,0.767316483
540.5,0.765502023
540,0.763689455
539.5,0.761879022
539,0.760070988
538.5,0.758265643
538,0.756463298
537.5,0.754664288
537,0.75286897
536.5,0.751077722
536,0.749290947
535.5,0.747509069
535,0.745732536
534.5,0.743961818
534,0.742197409
533.5,0.740439829
533,0.738689626
532.5,0.73694738
532,0.735213703
531.5,0.733489236
531,0.731774649
530.5,0.730070637
530,0.728377914
529.5,0.726697208
529,0.725029252
528.5,0.723374777
528,0.721734488
527.5,0.720109044
527,0.718499002
526.5,0.716904752
526,0.715326379
525.5,0.71376346
525,0.712214743
524.5,0.710677676
524,0.709147788
523.5,0.707618016
523,0.70607827
522.5,0.704515959
522,0.702770107
521.5,0.701004962
521,0.699219285
520.5,0.697412159
520,0.695582911
519.5,0.693731058
519,0.691856251
518.5,0.689958233
518,0.688036852
517.5,0.686092131
517,0.684124331
516.5,0.682134007
516,0.680122049
515.5,0.678089721
515,0.676038693
514.5,0.673971054
514,0.671889299
513.5,0.669796296
513,0.667695231
512.5,0.665589536
512,0.663482816
511.5,0.661378771
511,0.65928113
510.5,0.657193593
510,0.655119786
509.5,0.653063222
509,0.651027279
508.5,0.649015187
508,0.647030024
507.5,0.645074721
507,0.643152067
506.5,0.641264708
506,0.639415135
505.5,0.637605674
505,0.635838466
504.5,0.634115464
504,0.632438436
503.5,0.630808994
503,0.629228626
502.5,0.627698734
502,0.626220664
501.5,0.624795725
501,0.623425207
500.5,0.622110376
500,0.620852465
499.5,0.619652638
499,0.618511924
498.5,0.617431153
498,0.61641089
497.5,0.615451379
497,0.614552517
496.5,0.613713829
496,0.612934459
495.5,0.612213167
495,0.611548326
494.5,0.610937925
494,0.610379567
493.5,0.609870456
493,0.609407375
492.5,0.608986668
492,0.608604237
491.5,0.608255548
491,0.607935652
490.5,0.60763921
490,0.607360535
489.5,0.607093654
489,0.606832406
488.5,0.606570581
488,0.606302069
487.5,0.606021015
487,0.605721961
486.5,0.6054
486,0.60505093
485.5,0.604671418
485,0.604259145
484.5,0.603812938
484,0.603332834
483.5,0.602820117
483,0.602277308
482.5,0.601708125
482,0.601117417
481.5,0.600511064
481,0.599895826
480.5,0.599279183
480,0.598669151
479.5,0.598074132
479,0.59750278
478.5,0.596963894
478,0.596466335
477.5,0.596018968
477,0.595630638
476.5,0.595310172
476,0.595066404
475.5,0.594908175
475,0.594844282
474.5,0.594883376
474,0.595033821
473.5,0.59530352
473,0.595699697
472.5,0.596228658
472,0.596895515
471.5,0.597703918
471,0.598655806
470.5,0.599751231
470,0.600988235
469.5,0.602362796
469,0.603868818
468.5,0.605498172
468,0.607240789
467.5,0.609084785
467,0.611016624
466.5,0.61302131
466,0.615082611
465.5,0.617183304
465,0.619305444
464.5,0.621430666
464,0.623540497
463.5,0.6256167
463,0.627641628
462.5,0.629598593
462,0.631472219
461.5,0.633248773
461,0.634916426
460.5,0.636465472
460,0.637888476
459.5,0.639180367
459,0.64033848
458.5,0.641362528
458,0.642254514
457.5,0.643018593
457,0.643660898
456.5,0.644189347
456,0.644613454
455.5,0.644944115
455,0.64519338
454.5,0.645374211
454,0.64550023
453.5,0.645585483
453,0.645644208
452.5,0.645690612
452,0.645738649
451.5,0.645801784
451,0.645892772
450.5,0.646023434
450,0.646204456
449.5,0.64644519
449,0.646753477
448.5,0.647135497
448,0.647595654
447.5,0.648136504
447,0.648758726
446.5,0.649461128
446,0.650240687
445.5,0.651092639
445,0.65201061
444.5,0.652986753
444,0.654011903
443.5,0.655075722
443,0.65616686
442.5,0.657273143
442,0.658381803
441.5,0.659479747
441,0.660553854
