zone,age,meter,meter_err
Cordylodus intermedius*,487.8,0,2.99
Cordylodus lindstromi*,487.3,29.9,2.99
Iapetognathus,486.9,42.7,1.28
Cordylodus angulatus,485.2,50.3,0.76
Rossodus manitouensis,483.2,84.5,3.42
Low Diversity Interval,482.3,157,7.25
Macerodus dianae,482,263.7,10.67
Acodus deltatus/ Oneotodus costatus,481.7,303.4,3.97
Oepikodus communis,475.4,504,20.06
Reutterodus andinus,472.8,596,9.2
Tripodus laevis,471.3,772.3,17.63
Histiodella altifrons,470.3,832.3,6
Histiodella sinuosa,469.6,901.5,6.92
Histiodella holodentata,468.9,1045.7,14.42
